TSNE1,TSNE2
-10.84603,-31.318897
-38.09222,24.686155
-22.935972,44.697567
2.9772694,6.6937404
4.685303,62.15154
-4.5805593,-26.227774
4.328142,63.00483
-44.393826,33.44353
26.215223,29.517942
0.5023025,52.947765
19.462791,-31.443808
19.089985,35.64603
-44.090454,24.977497
-21.440313,1.4966941
7.7622943,66.86931
-4.4172297,-7.24594
-6.9155865,-23.814436
30.12245,4.4971848
-28.381678,31.7278
67.43265,8.705698
-4.2083693,0.029627595
47.837208,17.667408
-42.835793,-29.229797
60.708275,-16.209385
-43.3225,29.141312
12.215091,-63.694096
-8.993017,-22.153711
26.065823,29.317173
-19.205732,-4.735245
57.75923,-20.436436
8.027441,-12.123173
-25.50424,-2.1216486
-17.550146,-26.608532
-10.842869,-46.78014
-27.030087,0.62210345
5.390387,-56.024426
8.750152,-0.5690201
-1.4837773,-6.297015
30.619133,29.48525
-32.798027,43.385006
-20.065422,1.6155226
5.2863073,-56.38679
-19.72176,-30.560595
-62.544678,1.8745219
-65.2873,2.4968739
21.120314,-21.758654
-44.834663,-26.343355
19.581705,25.396908
54.476887,-28.708092
4.994052,62.1692
1.5045999,55.08553
5.025407,62.0043
-14.619455,-8.490886
23.017881,-30.779816
68.94611,-5.841974
3.4456542,59.765976
-32.146847,43.833385
19.446697,37.61201
38.1198,8.565455
19.026691,32.653263
-37.62376,41.429016
3.6907601,-63.43824
-17.987879,-14.60335
-9.7437525,16.133772
3.421272,6.190894
-29.327543,36.952785
18.999817,39.985874
-23.780691,-11.904263
15.955041,-35.906204
-11.979734,-45.89844
10.611636,10.70421
-1.1037847,44.168423
-30.623653,31.685022
-20.672846,-29.03391
17.623606,-51.8178
-0.037998967,-60.171352
16.746025,18.7307
24.047638,-14.651289
57.281548,-13.608341
-7.4241934,36.497856
-19.189785,0.44612074
14.809934,14.8236685
49.048878,22.3682
5.292526,-57.258038
40.672016,18.959795
65.90607,-10.69318
-54.175674,13.312535
